Y [m]	Z [m]
0.84	0.2425
1.008	0.2425
1.176	0.2425
1.344	0.2425
1.512	0.2425
1.68	0.2425
0.672	0.485
0.84	0.485
1.008	0.485
1.176	0.485
1.344	0.485
1.512	0.485
1.68	0.485
1.848	0.485
0.336	0.7275
0.504	0.7275
0.672	0.7275
0.84	0.7275
1.008	0.7275
1.176	0.7275
1.344	0.7275
1.512	0.7275
1.68	0.7275
1.848	0.7275
2.016	0.7275
2.184	0.7275
0.168	0.97
0.336	0.97
0.504	0.97
0.672	0.97
0.84	0.97
1.008	0.97
1.176	0.97
1.344	0.97
1.512	0.97
1.68	0.97
1.848	0.97
2.016	0.97
2.184	0.97
2.352	0.97
0.168	1.2125
0.336	1.2125
0.504	1.2125
0.672	1.2125
0.84	1.2125
1.008	1.2125
1.176	1.2125
1.344	1.2125
1.512	1.2125
1.68	1.2125
1.848	1.2125
2.016	1.2125
2.184	1.2125
2.352	1.2125
0.168	1.455
0.336	1.455
0.504	1.455
0.672	1.455
0.84	1.455
1.008	1.455
1.176	1.455
1.344	1.455
1.512	1.455
1.68	1.455
1.848	1.455
2.016	1.455
2.184	1.455
2.352	1.455
0.168	1.6975
0.336	1.6975
0.504	1.6975
0.672	1.6975
0.84	1.6975
1.008	1.6975
1.176	1.6975
1.344	1.6975
1.512	1.6975
1.68	1.6975
1.848	1.6975
2.016	1.6975
2.184	1.6975
2.352	1.6975
0.168	1.94
0.336	1.94
0.504	1.94
0.672	1.94
0.84	1.94
1.008	1.94
1.176	1.94
1.344	1.94
1.512	1.94
1.68	1.94
1.848	1.94
2.016	1.94
2.184	1.94
2.352	1.94
0.168	2.1825
0.336	2.1825
0.504	2.1825
0.672	2.1825
0.84	2.1825
1.008	2.1825
1.176	2.1825
1.344	2.1825
1.512	2.1825
1.68	2.1825
1.848	2.1825
2.016	2.1825
2.184	2.1825
2.352	2.1825
0.168	2.425
0.336	2.425
0.504	2.425
0.672	2.425
0.84	2.425
1.008	2.425
1.176	2.425
1.344	2.425
1.512	2.425
1.68	2.425
1.848	2.425
2.016	2.425
2.184	2.425
2.352	2.425
0.504	2.6675
0.672	2.6675
0.84	2.6675
1.008	2.6675
1.176	2.6675
1.344	2.6675
1.512	2.6675
1.68	2.6675
1.848	2.6675
2.016	2.6675
